"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"536958818983243776","","","2014-11-24 19:05:33 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","USICD - Catalina Devandas-Aguilar appointed as Special Rapporteur on the rights of persons with disabilities http://t.co/iS45B34tbX","","","","http://usicd.org/index.cfm/news_catalina-devandas-aguilar-appointed-as-special-rapporteur-on-the-rights-of-persons-with-disabilities#.VHOBa7VroX8.twitter"
"536958462958116864","","","2014-11-24 19:04:08 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","BNID - Welcome to the new BNID Blog! - Boston Network for International Development http://t.co/N8UK68yIRn via @BNID_Events","","","","http://www.bnid.org/blog-posts/welcome-to-the-new-bnid-blog"
"536867207645380608","","","2014-11-24 13:01:31 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Story on Violence Against People with Disabilities:  In Our Care http://t.co/MBW9KSWMny @abcnews","","","","http://www.abc.net.au/4corners/stories/2014/11/24/4132812.htm"
"535546502274637824","","","2014-11-20 21:33:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @USICD: Honor #DisabilityRights champs Gerard Quinn @NUIGCDLP &amp; @SenatorHarkin at USICD's Dec 2 Gala! http://t.co/I01rCwXlqx http://t.co…","535153455875514369","257613970","2014-11-19 19:31:41 +0000","http://conta.cc/1zAYu86,http://twitter.com/USICD/status/535153455875514369/photo/1,http://conta.cc/1zAYu86,http://twitter.com/USICD/status/535153455875514369/photo/1"
"535163010629644288","","","2014-11-19 20:09:39 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Early registration deadline for January-April 2015 courses on human rights, humanitarian action http://t.co/2WsirF4p3Z via #constantcontact","","","","http://conta.cc/1xDN99o"
"535149029651263488","","","2014-11-19 19:14:05 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Making Disability Inclusion a Priority in Youth Programs | Mobility International USA http://t.co/uHjS7hjCAv","","","","http://www.miusa.org/blog/2014/making-disability-inclusion-priority-youth-programs#.VGzr9l6dDDo.twitter"
"535148529862574081","","","2014-11-19 19:12:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @USICD: USICD Call for Applicants: #Youth in Int'l Development &amp; Foreign Affairs summer 2015 #internship in DC http://t.co/rVDCCJflmA","534860814457765888","257613970","2014-11-19 00:08:50 +0000","http://conta.cc/1uF8woJ,http://conta.cc/1uF8woJ"
"533593882026459136","","","2014-11-15 12:14:29 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Play Your Part To End Violence Against Women http://t.co/ox8Kg5Fev5 #jnj #globalmotherhood via @HuffPostImpact","","","","http://huff.to/1u7GJgv"
"533591708681129984","","","2014-11-15 12:05:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#pwdatwactivists","","","",""
"533356579094265857","","","2014-11-14 20:31:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @AspenNewVoices: Last chance to nominate someone for the New Voices Fellowship for 2015! http://t.co/zr9dyh4Crf","533243661509996544","1209032984","2014-11-14 13:02:50 +0000","http://bit.ly/1pECfg0,http://bit.ly/1pECfg0"
